   time in kHS23-Yrs by ByCountry     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR,      0.001,      0.014,      0.002,      0.002,      0.058,      0.016,      0.044,      0.075,      0.082,      0.000,      0.000,      0.001,      0.295
CA,      0.003,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.023,      0.051,      0.005,      0.000,      0.087
CERN,      0.032,      0.027,      0.001,      0.001,      0.002,      0.000,      0.011,      0.060,      0.373,      0.102,      0.002,      0.015,      0.625
CH,      0.000,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.000,      0.000,      0.031
CZ,      0.048,      0.026,      0.001,      0.000,      0.000,      0.000,      0.000,      0.024,      0.454,      0.007,      0.007,      0.001,      0.569
ES,      0.018,      0.004,      0.000,      0.000,      0.001,      0.000,      0.001,      0.007,      0.107,      0.078,      0.001,      0.003,      0.221
FR,      0.009,      0.024,      0.003,      0.000,      0.007,      0.001,      0.001,      0.040,      0.233,      0.053,      0.001,      0.001,      0.372
IN,      0.001,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012,      0.045,      0.001,      0.000,      0.000,      0.061
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL,      0.226,      0.115,      0.000,      0.004,      0.038,      0.001,      0.006,      0.131,      0.836,      0.049,      0.020,      0.004,      1.433
RU,      0.001,      0.023,      0.002,      0.000,      0.019,      0.004,      0.003,      0.001,      0.000,      0.000,      0.000,      0.000,      0.053
UK,      0.471,      0.300,      0.017,      0.004,      0.087,      0.039,      0.090,      0.371,      1.681,      0.447,      0.027,      0.022,      3.556
US,      0.346,      0.197,      0.074,      0.080,      0.246,      0.138,      0.221,      0.216,      1.097,      0.063,      0.008,      0.250,      2.935
undefined,      0.008,      0.007,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.016
Total,      1.164,      0.755,      0.101,      0.091,      0.457,      0.200,      0.378,      0.942,      4.945,      0.852,      0.073,      0.297,     10.255
