   time in kHS23-Hrs by ByCountry     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CA,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CERN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CH,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
ES,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
FR,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
RU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
UK,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US,       2332,       4271,       4347,          0,          0,          0,          0,          0,          0,          0,          0,          0,      10951
undefined,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
Total,       2332,       4271,       4347,          0,          0,          0,          0,          0,          0,          0,          0,          0,      10951
