   time in kHS23-Hrs by ByCountry     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR,         64,        466,         81,         95,        703,        177,        401,        678,        748,          0,         75,         32,       3525
CA,        130,        108,         43,         87,        217,         98,         19,        115,        275,        612,        418,        103,       2232
CERN,        816,       1266,        428,        985,       1474,        412,        231,        907,       3671,       1328,        757,        678,      12958
CH,          2,        126,          0,          0,          1,          1,          0,         23,        116,          0,         15,          0,        290
CZ,        640,       1088,        166,        227,       1134,        353,         26,        303,       4187,        209,        276,        298,       8911
ES,        318,        256,        111,        287,        577,        209,         24,        158,       1203,        818,        186,        105,       4256
FR,        217,        726,        143,        215,        675,        131,         21,        405,       2386,        498,         68,        104,       5593
IN,        246,        540,          0,        246,       1507,        380,          0,        249,        457,        108,        113,        104,       3954
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,        275,        292
NL,       3089,       3809,        295,        959,       2735,        299,        121,       1592,       7390,        518,        775,        389,      21977
RU,        347,        483,         94,        343,       1187,        158,         41,         54,          0,          0,          0,          0,       2711
UK,       6825,       9491,       3673,       2928,       7848,       1859,       1104,       6673,      17356,       5568,       2133,       1558,      67021
US,      12128,      31043,      39814,      27174,      14567,      18784,      15468,      31267,      44229,      18979,      14679,      12034,     280172
undefined,        325,        332,        200,         14,         78,          9,          0,          0,        112,         27,         28,         67,       1197
Total,      25153,      49739,      45054,      33566,      32710,      22876,      17461,      42428,      82134,      28671,      19547,      15753,     415096
