   time in kHS23-Hrs by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,        139,         13,          6,         27,         66,        163,         64,        569,        145,         70,         26,         64,       1356
CA,        409,        605,        443,         12,          0,        291,        416,        700,        161,         70,        159,        130,       3400
CERN,       4579,       2381,       1849,        697,       1213,       1937,       1545,       7955,        822,        643,        735,        816,      25179
CH,          5,          2,         10,          0,          0,          0,          0,          0,          0,          0,          0,          2,         22
CZ,       1834,        906,       1236,        168,          8,         17,        849,       1258,          2,          0,        122,        640,       7045
ES,       1376,        921,        815,        193,        658,       1499,       1084,       2557,        406,        173,        268,        318,      10275
FR,        173,        326,        289,        168,        648,        564,        331,       1018,        197,         50,        177,        217,       4163
IN,       3106,        533,       1051,        353,        249,        970,        801,       2429,        194,        330,        187,        246,      10456
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL,       5776,       1017,       2805,       1007,       1385,       4385,       2606,       6832,        393,        385,       1066,       3089,      30750
RU,        112,        216,         13,         37,        661,        468,        161,        683,        499,         46,        451,        347,       3700
UK,      16086,       9207,       3821,       1824,       2895,      12699,       5848,      14166,       2825,       2374,       4003,       6825,      82576
US,      36866,      23547,      44156,      58032,      30780,      46786,      49733,      55787,      38811,      14113,      12240,      12128,     422984
undefined,       1926,       2249,       4272,      11464,        432,        354,        418,        961,         81,        187,        144,        325,      22817
Total,  72393.261,  41928.442,  60771.754,  73988.054,  39002.063,  70138.886,  63860.341,  94920.381,  44540.732,  18447.649,  19584.442,  25153.418,     624729
