   time in kHS23-Yrs by ByCountry     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR,      0.007,      0.040,      0.007,      0.008,      0.022,      0.005,      0.002,      0.002,      0.003,      0.000,      0.008,      0.002,      0.107
CA,      0.012,      0.010,      0.004,      0.010,      0.025,      0.011,      0.002,      0.012,      0.009,      0.018,      0.043,      0.012,      0.168
CERN,      0.062,      0.117,      0.048,      0.112,      0.166,      0.047,      0.015,      0.044,      0.046,      0.050,      0.085,      0.063,      0.854
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.000,      0.003
CZ,      0.025,      0.098,      0.018,      0.026,      0.129,      0.040,      0.003,      0.010,      0.024,      0.017,      0.024,      0.033,      0.448
ES,      0.018,      0.026,      0.012,      0.033,      0.065,      0.024,      0.002,      0.011,      0.030,      0.015,      0.020,      0.009,      0.265
FR,      0.016,      0.059,      0.014,      0.024,      0.070,      0.014,      0.001,      0.006,      0.040,      0.004,      0.007,      0.011,      0.267
IN,      0.027,      0.060,      0.000,      0.028,      0.172,      0.043,      0.000,      0.016,      0.007,      0.011,      0.013,      0.012,      0.391
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.031,      0.033
NL,      0.126,      0.320,      0.034,      0.106,      0.274,      0.033,      0.008,      0.050,      0.007,      0.010,      0.068,      0.040,      1.075
RU,      0.039,      0.032,      0.009,      0.039,      0.117,      0.014,      0.002,      0.005,      0.000,      0.000,      0.000,      0.000,      0.256
UK,      0.308,      0.783,      0.402,      0.331,      0.809,      0.173,      0.036,      0.390,      0.301,      0.189,      0.216,      0.155,      4.095
US,      0.773,      2.859,      3.975,      3.022,      1.417,      2.007,      1.544,      3.354,      3.952,      2.104,      1.668,      1.124,     27.798
undefined,      0.029,      0.031,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.121
Total,      1.442,      4.435,      4.546,      3.740,      3.277,      2.412,      1.615,      3.901,      4.431,      2.421,      2.159,      1.502,     35.881
