   time in kHS23-Yrs by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      0.001,      0.000,      0.001,      0.003,      0.007,      0.010,      0.006,      0.022,      0.004,      0.000,      0.003,      0.007,      0.064
CA,      0.009,      0.065,      0.051,      0.001,      0.000,      0.033,      0.042,      0.033,      0.011,      0.007,      0.016,      0.012,      0.279
CERN,      0.110,      0.198,      0.143,      0.071,      0.125,      0.156,      0.125,      0.156,      0.051,      0.031,      0.076,      0.062,      1.304
CH,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
CZ,      0.060,      0.085,      0.114,      0.018,      0.001,      0.001,      0.094,      0.011,      0.000,      0.000,      0.007,      0.025,      0.417
ES,      0.049,      0.077,      0.072,      0.020,      0.071,      0.105,      0.104,      0.064,      0.025,      0.014,      0.021,      0.018,      0.640
FR,      0.016,      0.037,      0.033,      0.018,      0.067,      0.037,      0.035,      0.044,      0.017,      0.006,      0.019,      0.016,      0.346
IN,      0.077,      0.040,      0.076,      0.025,      0.028,      0.065,      0.073,      0.129,      0.016,      0.031,      0.020,      0.027,      0.609
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL,      0.118,      0.081,      0.224,      0.112,      0.153,      0.272,      0.263,      0.200,      0.015,      0.036,      0.087,      0.126,      1.686
RU,      0.007,      0.006,      0.001,      0.003,      0.076,      0.031,      0.018,      0.051,      0.034,      0.003,      0.052,      0.039,      0.319
UK,      0.243,      0.597,      0.375,      0.135,      0.307,      0.830,      0.593,      0.397,      0.136,      0.173,      0.319,      0.308,      4.413
US,      1.075,      1.399,      3.563,      5.050,      2.398,      2.268,      3.274,      3.079,      0.871,      0.741,      1.064,      0.773,     25.554
undefined,      0.016,      0.029,      0.081,      0.032,      0.018,      0.034,      0.043,      0.022,      0.005,      0.019,      0.017,      0.029,      0.345
Total,      1.781,      2.616,      4.737,      5.488,      3.251,      3.842,      4.671,      4.205,      1.185,      1.060,      1.701,      1.442,     35.979
