   time in kHS23-Yrs by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      0.014,      0.001,      0.000,      0.000,      0.000,      0.009,      0.002,      0.043,      0.012,      0.008,      0.000,      0.001,      0.091
CA,      0.038,      0.004,      0.000,      0.000,      0.000,      0.000,      0.006,      0.047,      0.007,      0.001,      0.002,      0.003,      0.109
CERN,      0.413,      0.073,      0.068,      0.009,      0.013,      0.065,      0.051,      0.753,      0.043,      0.043,      0.008,      0.032,      1.570
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CZ,      0.149,      0.019,      0.027,      0.001,      0.000,      0.001,      0.003,      0.133,      0.000,      0.000,      0.007,      0.048,      0.387
ES,      0.109,      0.028,      0.021,      0.002,      0.004,      0.066,      0.020,      0.228,      0.021,      0.006,      0.009,      0.018,      0.533
FR,      0.003,      0.000,      0.000,      0.001,      0.007,      0.027,      0.003,      0.072,      0.005,      0.000,      0.001,      0.009,      0.129
IN,      0.278,      0.021,      0.044,      0.015,      0.000,      0.045,      0.018,      0.149,      0.007,      0.007,      0.001,      0.001,      0.585
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL,      0.542,      0.035,      0.096,      0.003,      0.005,      0.229,      0.034,      0.580,      0.030,      0.008,      0.035,      0.226,      1.824
RU,      0.006,      0.019,      0.000,      0.001,      0.000,      0.023,      0.001,      0.027,      0.023,      0.002,      0.000,      0.001,      0.103
UK,      1.594,      0.454,      0.061,      0.074,      0.024,      0.619,      0.075,      1.220,      0.187,      0.098,      0.138,      0.471,      5.013
US,      1.026,      0.301,      0.210,      0.128,      0.036,      0.348,      0.078,      1.515,      0.152,      0.154,      0.024,      0.346,      4.316
undefined,      0.204,      0.228,      0.406,      1.277,      0.032,      0.006,      0.004,      0.088,      0.004,      0.002,      0.000,      0.008,      2.260
Total,      4.375,      1.183,      0.933,      1.511,      0.121,      1.439,      0.294,      4.856,      0.493,      0.329,      0.225,      1.164,     16.922
