   time in CoreYears by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,      1.446,      0.135,      0.067,      0.281,      0.695,      1.694,      0.670,      5.914,      1.511,      0.728,      0.270,      0.665,    14.076
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.440,      0.146,     0.586
CA_Victoria,      4.246,      6.281,      4.603,      0.130,      0.000,      3.026,      4.317,      7.269,      1.672,      0.732,      1.216,      1.206,    34.698
CERN,     47.529,     24.712,     19.199,      7.234,     12.596,     20.105,     16.044,     82.560,      8.535,      6.682,      7.633,      8.475,   261.304
CH_UNIBE-LHEP,      0.055,      0.026,      0.112,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.030,     0.229
CZ_FZU,     19.037,      9.410,     12.832,      1.748,      0.090,      0.186,      8.811,     13.056,      0.024,      0.006,      1.269,      6.651,    73.119
ES_CIEMAT,      1.248,      0.626,      0.000,      0.000,      0.000,      0.912,      0.567,      2.681,      0.236,      0.090,      0.020,      0.043,     6.422
ES_PIC,     13.034,      8.938,      8.468,      2.013,      6.839,     14.652,     10.683,     23.863,      3.985,      1.709,      2.771,      3.263,   100.218
FR_CCIN2P3,      1.796,      3.388,      3.001,      1.751,      6.733,      5.855,      3.439,     10.566,      2.050,      0.528,      1.847,      2.256,    43.209
IN_TIFR,     32.242,      5.534,     10.915,      3.672,      2.589,     10.073,      8.316,     25.210,      2.022,      3.434,      1.947,      2.558,   108.513
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL_NIKHEF,      4.364,      4.473,      1.799,      1.652,      5.453,     11.246,      4.310,     12.976,      2.403,      1.567,      4.505,     13.553,    68.300
NL_SURFsara,     55.587,      6.082,     27.312,      8.801,      8.922,     34.270,     22.741,     57.928,      1.676,      2.431,      6.565,     18.505,   250.821
RU_JINR,      1.167,      2.252,      0.136,      0.391,      6.867,      4.864,      1.675,      7.095,      5.179,      0.487,      4.687,      3.608,    38.407
UK_Bristol,     32.094,      7.874,      2.482,      0.306,      2.477,      4.796,      5.468,     11.669,      1.893,      1.379,      3.511,      3.004,    76.954
UK_Brunel,      8.166,      0.200,      0.000,      0.000,      0.000,      0.000,      0.000,      3.041,      2.103,      1.237,      3.338,      3.312,    21.397
UK_Edinburgh,      0.536,      2.960,      1.413,      0.073,      0.000,      0.000,      0.000,      1.201,      0.640,      0.310,      0.203,      0.895,     8.231
UK_Imperial,      1.928,      3.875,      2.462,      1.208,      1.633,      8.925,      6.868,     14.884,      1.792,      0.939,      1.747,      5.417,    51.677
UK_Lancaster,      3.159,      2.779,      3.006,      1.978,      0.909,     31.861,      4.378,     11.097,      0.954,      0.458,      1.442,      1.339,    63.360
UK_Liverpool,      2.890,      2.699,      2.327,      0.189,      0.001,      0.001,      0.000,      0.000,      0.001,      0.001,      0.004,      0.009,     8.122
UK_Manchester,      1.579,      2.532,      0.775,      0.138,      1.212,     44.232,     22.012,     11.415,      8.747,      4.142,      5.487,     18.849,   121.120
UK_Oxford,     11.057,      3.991,      2.184,      0.552,      1.010,      3.102,      1.049,      4.557,      1.022,      0.790,      0.651,      0.792,    30.757
UK_QMUL,     10.620,      0.942,      4.535,      1.484,     11.005,     13.272,      4.827,     15.203,      2.633,      1.692,      5.410,      4.982,    76.603
UK_RAL-PPD,     40.595,     15.761,      7.150,      3.563,      4.958,     13.667,     13.208,     20.289,      5.082,      3.019,      3.804,     12.855,   143.951
