Cumulative-Tape	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
National(PB)	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,    64.4 	,    92.6 	,   120.9 	,   149.4 	,   177.7 	,   205.2 	,   236.8 	,   268.3 	,   297.8 	,   330.2 	,   362.6 	,   395.0
FNAL(PB)	,    11.0 	,    16.3 	,    22.8 	,    28.8 	,    38.8 	,    50.2 	,    58.8 	,    63.6 	,    69.5 	,    64.4 	,    92.6 	,   120.9 	,   149.4 	,   177.7 	,   205.2 	,   236.8 	,   268.3 	,   297.8 	,   330.2 	,   362.6 	,   395.0
CERN(PB)	,     3.0 	,     3.5 	,     5.3 	,     6.7 	,    11.4 	,    16.6 	,    19.0 	,    18.8 	,    21.9 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
Total(PB)	,    14.0 	,    19.7 	,    28.1 	,    35.5 	,    50.2 	,    66.8 	,    77.8 	,    82.4 	,    91.4 	,   128.7 	,   185.1 	,   241.8 	,   298.7 	,   355.5 	,   410.4 	,   473.7 	,   536.7 	,   595.6 	,   660.4 	,   725.2 	,   790.
