Cumulative-Disk	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
Raw-Store(PB)	,     0.6 	,     0.7 	,     1.3 	,     1.3 	,     5.0 	,     5.0 	,     1.3 	,     1.3 	,     1.9 	,    17.1 	,    25.9 	,    26.0 	,    26.0 	,    26.0 	,    26.0 	,    30.0 	,    30.0 	,    30.0 	,    30.0 	,    30.0 	,    30.0
Test(PB)	,     0.5 	,     0.1 	,     1.3 	,     1.6 	,     0.8 	,     1.2 	,     3.5 	,     3.0 	,     5.6 	,     6.1 	,     6.6 	,     6.6 	,     6.3 	,     6.3 	,     6.3 	,     6.3 	,     6.3 	,     1.3 	,     1.3 	,     1.3 	,     1.3
Reco-Data-Store(PB)	,     5.6 	,     7.3 	,     6.8 	,     5.9 	,     6.7 	,    10.0 	,    13.3 	,    12.7 	,     8.4 	,     3.8 	,     2.1 	,     3.5 	,     6.0 	,     9.1 	,    12.2 	,    15.8 	,    20.0 	,    24.6 	,    29.3 	,    34.0 	,    38.6
Sim-Store(PB)	,     7.0 	,     9.0 	,    11.1 	,    11.3 	,    11.1 	,    11.1 	,    11.1 	,    11.1 	,     9.2 	,     7.4 	,     9.3 	,    11.1 	,    11.1 	,    11.1 	,    11.1 	,    11.1 	,    11.1 	,    11.1 	,    11.1 	,    11.1 	,    11.1
Total(PB)	,    13.6 	,    17.1 	,    20.5 	,    20.1 	,    23.6 	,    27.4 	,    29.1 	,    28.1 	,    25.0 	,    34.3 	,    43.7 	,    47.1 	,    49.4 	,    52.5 	,    55.6 	,    63.3 	,    67.4 	,    67.1 	,    71.7 	,    76.4 	,    81.
