 detector,datatype,resource,location,units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
SP,Raw-Events,dummy,ALL,Million,10.9,19.4,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP,Test,dummy,ALL,TB,157,600,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP,Sim-Events,dummy,ALL,Million,1.3,5,5,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD,Raw-Events,dummy,ALL,Million,0,0,0,0,0,0,20,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD,TP,dummy,ALL,TB,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD,Test,dummy,ALL,TB,0,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD,Sim-Events,dummy,ALL,Million,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DP,Raw-Events,dummy,ALL,Million,0,0.5,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP,Test,dummy,ALL,TB,0,42,500,231,231,231,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP,Sim-Events,dummy,ALL,Million,1.3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD,Raw-Events,dummy,ALL,Million,0,0,0,0,0,0,5.1,20.4,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD,TP,dummy,ALL,TB,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD,Test,dummy,ALL,TB,0,0,0,0,1000,1000,1000,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD,Sim-Events,dummy,ALL,Million,0,0,0,0,0,5.1,5.1,5.1,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
HD,Raw-Events,dummy,ALL,Million,0,0,0,0,0,0,0,0,0,0,0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
HD,TP,dummy,ALL,TB,0,0,0,0,0,0,0,0,1000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
HD,Test,dummy,ALL,TB,0,0,0,0,0,0,0,0,1000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
HD,Sim-Events,dummy,ALL,Million,0,0,0,0,0,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30
VD,Raw-Events,dummy,ALL,Million,0,0,0,0,0,0,0,0,0,0,0,1.1,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
VD,TP,dummy,ALL,TB,0,0,0,0,0,0,0,0,1050,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
VD,Test,dummy,ALL,TB,0,0,0,0,0,0,0,0,1050,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
VD,Sim-Events,dummy,ALL,Million,0,0,0,0,0,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30
ND-SAND,Raw-Events,dummy,ALL,Million,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15
ND-SAND,Test,dummy,ALL,TB,0,0,0,0,0,0,200,200,200,200,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500
ND-SAND,Sim-Events,dummy,ALL,Million,0,0,0,0,0,0,1,1,5,5,5,20,30,60,60,60,60,60,60,60,60,60,60
ND-LAr+TMS,Raw-Events,dummy,ALL,Million,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15
ND-LAr+TMS,Test,dummy,ALL,TB,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500
ND-LAr+TMS,Sim-Events,dummy,ALL,Million,0,0,0,0,0,0,1,1,5,5,5,5,5,60,60,60,60,60,60,60,60,60,60
