detector, datatype , 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040
LBL, Events, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.001360, 0.000000, 0.004080, 0.000000, 0.008160, 0.000000, 0.016320, 0.000000, 0.021761
LBL, Test, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
LBL, Sim-Events, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 24.000000, 24.000000, 0.000000, 0.000000, 24.000000, 0.000000, 0.000000, 0.000000, 24.000000, 24.000000, 0.000000, 24.000000, 0.000000, 24.000000, 0.000000, 24.000000, 0.000000, 24.000000
Calib, Events, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.830000, 3.650000, 3.650000, 3.650000, 3.650000, 3.650000, 3.650000, 3.650000, 7.300000, 7.300000, 7.300000, 7.300000, 7.300000
Calib, Test, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3000.000000, 6000.000000, 6000.000000, 6000.000000, 6000.000000, 6000.000000, 6000.000000, 6000.000000, 12000.000000, 12000.000000, 12000.000000, 12000.000000, 12000.000000
Calib, Sim-Events, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000, 2.600000
TP, Events, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.300000, 0.600000, 0.600000, 0.600000, 0.600000, 0.600000, 0.600000, 0.600000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000
TP, Test, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
TP, Sim-Events, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000, 0.100000
ND-SAND, Events, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000
ND-SAND, Test, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000
ND-SAND, Sim-Events, 0.000000, 0.000000, 0.000000, 10.000000, 10.000000, 10.000000, 10.000000, 10.000000, 10.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000
ND-LAr+TMS, Events, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000
ND-LAr+TMS, Test, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 1000.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000, 500.000000
ND-LAr+TMS, Sim-Events, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 5.000000, 10.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000, 15.000000
