detector,datatype,resource,location,units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
PDVD,Analysis-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,1.9124999999999999,1.9124999999999999,1.9124999999999999,1.9124999999999999,1.9124999999999999,1.9124999999999999,1.9124999999999999,1.9124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDHD,Analysis-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,2.0625,3.4375,4.8125,6.1875,7.5625,8.9375,11.0,13.0625,15.125,17.1875,19.25
FDHD,Analysis-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875
FDVD,Analysis-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4630000000000003,2.9260000000000006,4.389000000000001,5.852000000000001,7.315000000000001,8.778000000000002,10.241000000000003,12.435500000000003,14.630000000000003,16.824500000000004,19.019000000000005,21.213500000000007
FDVD,Analysis-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875
ND-SAND,Analysis-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825,0.0165,0.02475,0.033,0.04125,0.0495,0.05775,0.066,0.07425000000000001,0.08250000000000002,0.09075000000000003
ND-SAND,Analysis-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.3,0.3,0.3,1.2,1.7999999999999998,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996
ND-LAr+TMS,Analysis-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,5.7,8.55,11.4,14.25,17.1,19.950000000000003,22.800000000000004,25.650000000000006,28.500000000000007,31.35000000000001
ND-LAr+TMS,Analysis-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,5.75,5.75,5.75,5.75,5.75,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
SP,Total,CPU,ALL,MHr,4.188045,13.201515,14.82684,20.45184,20.45184,20.45184,20.45184,20.45184,11.25,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Total,CPU,ALL,MHr,0.0,0.0,0.0,0.0,5.625,5.625,10.626,11.876249999999999,13.1265,13.1265,13.1265,13.1265,13.1265,7.501499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Total,CPU,ALL,MHr,1.4625000000000001,5.750025,5.97507,6.475169999999999,6.475169999999999,6.475169999999999,6.475169999999999,0.8501699999999999,0.8501699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Total,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,5.7375,7.012754999999999,12.113774999999999,13.38903,13.38903,13.38903,13.38903,13.38903,7.65153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDHD,Total,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,2.8125,2.8125,2.8125,2.8125,2.8125,5.625,7.6875,11.8125,15.9375,20.0625,24.1875,28.3125,32.4375,38.625,44.8125,51.0,57.1875,63.375
FDVD,Total,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,2.8125,2.8125,2.8125,2.8125,2.8125,5.625,10.014000000000001,14.403,18.792,23.181000000000004,27.570000000000004,31.959000000000007,36.34800000000001,42.93150000000001,49.51500000000001,56.098500000000016,62.682000000000016,69.26550000000002
ND-SAND,Total,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.5,1.5,1.5,6.0,9.04125,18.0825,18.123749999999998,18.165,18.206249999999997,18.2475,18.28875,18.33,18.371249999999996,18.412499999999998,18.45375
ND-LAr+TMS,Total,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,5.75,5.75,28.75,28.75,28.75,28.75,43.0,373.5,387.75,402.0,416.25,430.5,444.75,459.00000000000006,473.25,487.5,501.75000000000006
