Reco-CPU	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,
ND (MHr)	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,
ProtoDUNEs (MHr)	,     8.5 	,     8.0 	,     5.6 	,    10.2 	,    14.6 	,    18.8 	,    16.7 	,    10.4 	,     4.2 	,
FDs (MHr)	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     1.8 	,
Total (MHr)	,     8.5 	,     8.0 	,     5.6 	,    10.2 	,    14.6 	,    18.8 	,    16.7 	,    10.4 	,     6.1 	,
