HS06	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,
ProtoDUNEs (kHS06-yr)	,42 	,54 	,50 	,85 	,93 	,100 	,56 	,18 	,7 	,
FDs (kHS06-yr)	,0 	,0 	,27 	,16 	,16 	,27 	,54 	,54 	,57 	,
ND (kHS06-yr)	,1 	,3 	,1 	,1 	,1 	,1 	,1 	,1 	,1 	,
Total (kHS06-yr)	,43 	,58 	,79 	,103 	,111 	,129 	,112 	,74 	,66 	,
