Sim-CPU	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,
ND (MHr)	,     0.8 	,     2.0 	,     0.8 	,     0.8 	,     0.8 	,     0.8 	,     0.8 	,     0.8 	,     0.8 	,
ProtoDUNEs (MHr)	,    15.0 	,    22.5 	,    22.5 	,    37.5 	,    37.5 	,    37.5 	,    15.0 	,     0.0 	,     0.0 	,
FDs (MHr)	,     0.0 	,     0.0 	,    15.1 	,     9.1 	,     9.1 	,    15.1 	,    30.1 	,    30.1 	,    30.3 	,
Total (MHr)	,    15.8 	,    24.5 	,    38.5 	,    47.4 	,    47.4 	,    53.4 	,    46.0 	,    30.9 	,    31.1 	,
