Country,Site,Total Slot-Years,Percent
BR,CBPF,13,0.82\%
CA,CA-SFU-T2,0,0\%
CH,UNIBE-LHEP,1,0.06\%
CZ,praguelcg2,120,7.52\%
ES,CIEMAT-LCG2,29,1.82\%
ES,pic,169,10.60\%
FR,IN2P3-CC,60,3.76\%
NL,NIKHEF-ELPROD,72,4.51\%
NL,SARA-MATRIX,112,7.02\%
UK,RAL-LCG2,211,13.23\%
UK,UKI-LT2-Brunel,30,1.88\%
UK,UKI-LT2-IC-HEP,80,5.02\%
UK,UKI-LT2-QMUL,70,4.39\%
UK,UKI-NORTHGRID-LANCS-HEP,69,4.33\%
UK,UKI-NORTHGRID-LIV-HEP,26,1.63\%
UK,UKI-NORTHGRID-MAN-HEP,118,7.40\%
UK,UKI-NORTHGRID-SHEF-HEP,21,1.32\%
UK,UKI-SCOTGRID-ECDF,7,0.44\%
UK,UKI-SOUTHGRID-BHAM-HEP,0,0\%
UK,UKI-SOUTHGRID-BRIS-HEP,203,12.73\%
UK,UKI-SOUTHGRID-OX-HEP,40,2.51\%
UK,UKI-SOUTHGRID-RALPP,145,9.09\%
TOTAL,Total,1595,
