Cores	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026
PDs (2020-vintage MWC-Wallyr)	,8007 	,10217 	,9377 	,16023 	,17939 	,19570 	,11416
FDs (2020-vintage MWC-Wallyr)	,0 	,0 	,1647 	,1157 	,1157 	,2462 	,4908
ND (2020-vintage MWC-Wallyr)	,391 	,978 	,391 	,391 	,391 	,391 	,391
Total (2020-vintage MWC-Wallyr)	,8399 	,11195 	,11415 	,17572 	,19489 	,22424 	,16716
