year,    det/mc,                expt,              stream,                tier,files,events,size,TB,size/event,MB,,,,,,,,,,
ALL,        mc,             physics,                 ALL,  full-reconstructed,"633,196.00","24,927,803.00",734.94,TB,29.483,MB,,,,,,,,,,
ALL,        mc,             physics,                out1,  full-reconstructed,"633,196.00","24,927,803.00",734.94,TB,29.483,MB,,,,,,,,,,
ALL,        mc,             physics,                 ALL,  detector-simulated,"307,609.00","13,482,308.00",537.24,TB,39.848,MB,,,,,,,,,,
ALL,        mc,             physics,                out1,  detector-simulated,"307,609.00","13,482,308.00",537.24,TB,39.848,MB,,,,,,,,,,
ALL,  detector,                 ALL,                 ALL,   reco-recalibrated,"144,636.00","14,245,862.00",466.88,TB,32.773,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                 ALL,   reco-recalibrated,"144,636.00","14,245,862.00",466.88,TB,32.773,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,                 ALL,                 ALL,"134,809.00","3,043,541.00",413.91,TB,135.997,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,                 ALL,                 raw,"117,750.00","2,533,945.00",403.16,TB,159.102,MB,,,,,,,,,,
ALL,  detector,                 ALL,             physics,   reco-recalibrated,"74,276.00","9,498,411.00",360.20,TB,37.922,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             physics,   reco-recalibrated,"74,276.00","9,498,411.00",360.20,TB,37.922,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,           simulated,"478,624.00","452,237,510.00",358.22,TB,0.792,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,                 ALL,                 ALL,"110,597.00","9,311,506.00",319.31,TB,34.291,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,                 ALL,                 raw,"86,374.00","6,652,337.00",285.65,TB,42.939,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out1,           simulated,"412,033.00","44,818,875.00",282.07,TB,6.293,MB,,,,,,,,,,
ALL,        mc,             physics,                 ALL,           simulated,"209,971.00","5,058,620.00",267.81,TB,52.942,MB,,,,,,,,,,
ALL,        mc,             physics,                out1,           simulated,"209,971.00","5,058,620.00",267.81,TB,52.942,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,                test,                 ALL,"75,801.00","2,087,902.00",259.39,TB,124.236,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,                test,                 raw,"75,801.00","2,087,902.00",259.39,TB,124.236,MB,,,,,,,,,,
ALL,  detector,                 ALL,                 ALL,         decoded-raw,"90,052.00","13,792,301.00",252.00,TB,18.271,MB,,,,,,,,,,
