year,    det/mc,                expt,              stream,                tier,files,events,size,TB,size/event,MB,,,,,,,,,,
ALL,  detector,                 ALL,                out1,        pandora_info,3.00,0.00,0.00,TB,-1,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                out1,        pandora_info,3.00,0.00,0.00,TB,-1,MB,,,,,,,,,,
ALL,        mc,                 ALL,             physics,        pandora_info,15.00,150.00,0.00,TB,10.528,MB,,,,,,,,,,
ALL,        mc,             physics,                 ALL,        pandora_info,15.00,150.00,0.00,TB,10.528,MB,,,,,,,,,,
ALL,        mc,             physics,             physics,                 ALL,15.00,150.00,0.00,TB,10.528,MB,,,,,,,,,,
ALL,        mc,             physics,             physics,        pandora_info,15.00,150.00,0.00,TB,10.528,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,                 raw,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,              sliced,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,            sam-user,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,           root-hist,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,         decoded-raw,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,   hit-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out2,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out2,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out2,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out2,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out2,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out2,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out2,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                test,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                test,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                test,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                test,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                test,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                test,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,                test,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               noise,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               noise,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               noise,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               noise,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               noise,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               noise,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               noise,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               study,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               study,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               study,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               study,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               study,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               study,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,               study,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             cosmics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             cosmics,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             cosmics,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             cosmics,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             cosmics,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             cosmics,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             cosmics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             physics,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             physics,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,             physics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,            pedestal,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,            pedestal,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,            pedestal,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,            pedestal,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,            pedestal,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,            pedestal,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,            pedestal,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,         calibration,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,         calibration,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,         calibration,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,         calibration,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,         calibration,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,         calibration,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                 ALL,         calibration,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                test,                 ALL,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                test,                 ALL,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                test,                 ALL,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                test,                 ALL,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                test,                 ALL,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                test,                 ALL,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,                test,                 ALL,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                 ALL,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                 ALL,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                 ALL,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                 ALL,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                 ALL,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                out2,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                out2,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                test,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,                test,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,               noise,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,               noise,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,               study,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,               study,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,             cosmics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,             cosmics,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,             physics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,             physics,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,            pedestal,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,            pedestal,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,         calibration,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,              fardet,         calibration,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             iceberg,                 ALL,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             iceberg,                 ALL,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             iceberg,                 ALL,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             iceberg,                 ALL,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             iceberg,                 ALL,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             iceberg,                 ALL,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             iceberg,                 ALL,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                 ALL,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                 ALL,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                 ALL,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                 ALL,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                 ALL,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                out1,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                out1,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                out2,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                out2,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                test,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,                test,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,               noise,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,               noise,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,               study,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,               study,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,             cosmics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,             cosmics,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,            pedestal,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,            pedestal,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,         calibration,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             neardet,         calibration,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                 ALL,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                 ALL,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                out1,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                out2,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                out2,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                out2,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                out2,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                out2,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                test,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                test,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                test,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                test,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,                test,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               noise,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               noise,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               noise,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               noise,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               noise,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               study,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               study,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               study,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               study,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,               study,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,             cosmics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,             cosmics,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,             cosmics,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,             cosmics,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,             cosmics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,             physics,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,             physics,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,             physics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,            pedestal,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,            pedestal,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,            pedestal,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,            pedestal,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,            pedestal,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,         calibration,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,         calibration,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,         calibration,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,         calibration,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,             physics,         calibration,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                 ALL,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                 ALL,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                 ALL,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                 ALL,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                out2,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                out2,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                out2,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                test,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                test,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                test,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,               noise,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,               noise,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,               noise,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,               study,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,               study,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,               study,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,             cosmics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,             cosmics,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,             cosmics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,             physics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,             physics,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,             physics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,            pedestal,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,            pedestal,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,            pedestal,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,         calibration,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,         calibration,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,         calibration,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                 ALL,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                 ALL,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                 ALL,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                out2,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                out2,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                out2,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                out2,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                test,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                test,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                test,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                test,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,               noise,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,               noise,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,               noise,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,               noise,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,               study,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,               study,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,               study,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,               study,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,             cosmics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,             cosmics,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,             cosmics,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,             cosmics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,             physics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,             physics,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,             physics,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,             physics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,            pedestal,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,            pedestal,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,            pedestal,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,            pedestal,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,         calibration,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,         calibration,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,         calibration,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,         calibration,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                 ALL,           simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                 ALL,   reco-recalibrated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                 ALL,  detector-simulated,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                out2,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                out2,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                out2,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                out2,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                test,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                test,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                test,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                test,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,               noise,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,               noise,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,               noise,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,               noise,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,               study,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,               study,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,               study,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,               study,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,             cosmics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,             cosmics,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,             cosmics,        pandora_info,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,             cosmics,  full-reconstructed,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,             physics,                 ALL,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,             physics,          root-tuple,0.00,0.00,0.00,TB,0,MB,,,,,,,,,,
