Cumulative-Disk	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
National(PB)	,     9.8 	,    10.6 	,     9.4 	,     9.6 	,    11.3 	,    13.2 	,    13.2 	,    13.5 	,    23.2 	,    23.4 	,    26.5 	,    29.7 	,    34.2 	,    38.8 	,    43.7 	,    49.1 	,    52.3 	,    58.1 	,    63.8 	,    69.6
FNAL(PB)	,     8.2 	,     9.8 	,     9.2 	,    10.9 	,    12.4 	,    13.8 	,    12.3 	,    14.8 	,    27.0 	,    36.0 	,    37.3 	,    38.2 	,    39.7 	,    41.2 	,    46.8 	,    48.5 	,    48.0 	,    49.9 	,    51.8 	,    53.7
CERN(PB)	,     2.3 	,     3.5 	,     3.6 	,     5.1 	,     5.7 	,     5.9 	,     4.4 	,     6.7 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
Total(PB)	,    20.3 	,    23.9 	,    22.1 	,    25.6 	,    29.4 	,    32.9 	,    29.9 	,    35.0 	,    50.1 	,    59.4 	,    63.7 	,    67.8 	,    73.9 	,    80.0 	,    90.5 	,    97.6 	,   100.3 	,   108.0 	,   115.6 	,   123.
