Cumulative-Disk	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030
Global(PB)	,     6.8 	,     6.5 	,     8.0 	,     8.3 	,     9.3 	,     9.6 	,     7.7 	,    15.5 	,    15.8
FNAL(PB)	,     6.6 	,     6.8 	,     9.5 	,     9.5 	,     9.9 	,    10.8 	,    12.2 	,    26.9 	,    36.1
CERN(PB)	,     2.5 	,     2.9 	,     4.7 	,     4.5 	,     4.3 	,     5.0 	,     7.6 	,     0.0 	,     0.0
Total(PB)	,    15.9 	,    16.2 	,    22.2 	,    22.3 	,    23.6 	,    25.4 	,    27.6 	,    42.4 	,    51.
