Cumulative-Tape	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030
Global(PB)	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,    43.8 	,    58.8
FNAL(PB)	,    18.7 	,    23.8 	,    32.3 	,    40.1 	,    47.3 	,    53.2 	,    59.2 	,    57.6 	,    85.6
CERN(PB)	,     4.1 	,     4.6 	,     7.7 	,    10.6 	,    12.4 	,    13.6 	,    16.6 	,    13.8 	,    26.8
Total(PB)	,    22.8 	,    28.3 	,    40.0 	,    50.7 	,    59.7 	,    66.8 	,    75.8 	,   115.1 	,   171.
