Sim-Store	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,
ND (PB)	,     0.5 	,     1.2 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,
ProtoDUNEs (PB)	,     2.2 	,     3.3 	,     3.3 	,     5.5 	,     5.5 	,     5.5 	,     2.2 	,
FDs (PB)	,     0.0 	,     0.0 	,     0.6 	,     0.4 	,     0.4 	,     0.6 	,     1.2 	,
Total (PB)	,     2.7 	,     4.6 	,     4.4 	,     6.4 	,     6.4 	,     6.6 	,     3.9 	,
