Cumulative-Disk	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026
Raw-Store(PB)	,     0.6 	,     0.7 	,     1.2 	,     3.9 	,     3.9 	,     2.5 	,     0.0
Test(PB)	,     0.5 	,     0.1 	,     0.9 	,     1.4 	,     0.8 	,     0.7 	,     0.1
Reco-Data-Store(PB)	,     4.8 	,     5.1 	,     4.1 	,     4.4 	,     7.0 	,     9.4 	,     9.9
Sim-Store(PB)	,     7.4 	,    10.9 	,    13.4 	,    16.2 	,    19.1 	,    19.5 	,    15.8
Total(PB)	,    13.2 	,    16.8 	,    19.6 	,    25.8 	,    30.7 	,    32.0 	,    25.
