Total-CPU	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026
PDs (MWC-MWallHr)	,    42.2 	,    54.1 	,    49.8 	,    85.0 	,    94.8 	,   103.1 	,    59.6
FDs (MWC-MWallHr)	,     0.0 	,     0.0 	,     8.8 	,     6.2 	,     6.2 	,    13.2 	,    26.3
ND (MWC-MWallHr)	,     1.8 	,     4.5 	,     1.8 	,     1.8 	,     1.8 	,     1.8 	,     1.8
Total (MWC-MWallHr)	,    44.0 	,    58.6 	,    60.4 	,    93.0 	,   102.8 	,   118.1 	,    87.7
