DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Reco-Sim,13,27,35,28,63,63,56,63,67
Reco-Data,2,0,7,15,18,10,3,7,38
Analysis-Data,6,0,3,7,9,9,9,3,13
Analysis-Sim,10,16,19,12,21,21,17,19,20
Total,32,45,66,63,111,104,86,93,140
