DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,0,0,3361,2944,1261,0,0,17050,20659
Reco-Sim,3300,6783,6895,5245,5695,5695,4162,4725,5100
Reco-Data,658,140,1604,2770,3324,1720,554,132,1208
Test,2231,3231,2800,2700,3700,6200,12100,14100,11565
Total,6189,10154,14660,13659,13980,13615,16816,36007,38533
