Detectors,DataTypes,Resources,Locations,Units,2022,2023,2024,2025,2026,2027,2028,2029,2030,Explanation
SP,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
SP,Test,input,Total,TB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
SP,Sim-Events,input,Total,Million,5.000,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
PDHD,Raw-Events,input,Total,Million,0.000,0.000,20.000,5.000,5.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
PDHD,Test,input,Total,TB,1000.000,1000.000,100.000,500.000,0.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
PDHD,Sim-Events,input,Total,Million,5.000,5.000,5.000,5.000,5.000,5.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
DP,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
DP,Test,input,Total,TB,231.000,231.000,500.000,500.000,0.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
DP,Sim-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
PDVD,Raw-Events,input,Total,Million,0.000,0.000,5.100,20.400,5.100,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
PDVD,Test,input,Total,TB,1000.000,1000.000,1000.000,500.000,500.000,0.000,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
PDVD,Sim-Events,input,Total,Million,0.000,5.100,5.100,5.100,5.100,5.100,0.000,0.000,0.000,Inputs from Feb24_timeline.csv
FDHD,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.200,2.200,Inputs from Feb24_timeline.csv
FDHD,Test,input,Total,TB,0.000,0.000,0.000,0.000,1000.000,2500.000,5000.000,6000.000,6000.000,Inputs from Feb24_timeline.csv
FDHD,Sim-Events,input,Total,Million,0.000,15.000,15.000,15.000,15.000,15.000,30.000,30.000,30.000,Inputs from Feb24_timeline.csv
FDVD,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.100,2.200,Inputs from Feb24_timeline.csv
FDVD,Test,input,Total,TB,0.000,0.000,0.000,0.000,1000.000,2500.000,5100.000,6100.000,6100.000,Inputs from Feb24_timeline.csv
FDVD,Sim-Events,input,Total,Million,0.000,15.000,15.000,15.000,15.000,15.000,30.000,30.000,30.000,Inputs from Feb24_timeline.csv
ND-SAND,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000,Inputs from Feb24_timeline.csv
ND-SAND,Test,input,Total,TB,0.000,0.000,200.000,200.000,200.000,200.000,1000.000,1000.000,1000.000,Inputs from Feb24_timeline.csv
ND-SAND,Sim-Events,input,Total,Million,0.000,0.000,1.000,1.000,5.000,5.000,5.000,20.000,30.000,Inputs from Feb24_timeline.csv
ND-LAr+TMS,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000,Inputs from Feb24_timeline.csv
ND-LAr+TMS,Test,input,Total,TB,0.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,Inputs from Feb24_timeline.csv
ND-LAr+TMS,Sim-Events,input,Total,Million,0.000,0.000,1.000,1.000,5.000,5.000,5.000,5.000,5.000,Inputs from Feb24_timeline.csv
