Locations,2022,2023,2024,2025,2026,2027,2028,2029,2030
US,9590,10577,14164,12063,10731,11871,15271,30611,33490
CERN,1115,1115,2480,2222,880,0,0,0,0
Global,8474,10362,13539,11754,11988,14233,18533,18071,18413
Total,19180,22055,30184,26040,23600,26105,33805,48683,51904
Total,19180,22055,30184,26040,23600,26105,33805,48683,51904
