Detectors,DataTypes,Resources,Locations,Units,2022,2023,2024,2025,2026,2027,2028,2029,2030,Explanation
SP,Reco-Sim,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 0.00
SP,Reco-Sim,Store,Total,TB,1100.000,1100.000,1100.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 220.00
PDHD,Reco-Data,CPU,Total,MHr,0.000,0.000,3.334,4.167,5.001,1.667,0.833,0.000,0.000,Go back 3.00 years for Reco-Data
PDHD,Reco-Data,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Go back 3.00 years for Reco-Data
PDHD,Reco-Data,Store,Total,TB,0.000,0.000,700.000,875.000,1050.000,350.000,175.000,0.000,0.000,Go back 3.00 years for Reco-Data
PDHD,Reco-Sim,CPU,Total,MHr,3.750,3.750,3.750,3.750,3.750,3.750,0.000,0.000,0.000,Scale inputs by 0.75
PDHD,Reco-Sim,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 0.00
PDHD,Reco-Sim,Store,Total,TB,1100.000,1100.000,1100.000,1100.000,1100.000,1100.000,0.000,0.000,0.000,Scale inputs by 220.00
DP,Reco-Data,CPU,Total,MHr,0.483,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Go back 3.00 years for Reco-Data
DP,Reco-Data,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Go back 3.00 years for Reco-Data
DP,Reco-Data,Store,Total,TB,101.500,70.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Go back 3.00 years for Reco-Data
DP,Reco-Sim,CPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 0.75
DP,Reco-Sim,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 0.00
DP,Reco-Sim,Store,Total,TB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 220.00
PDVD,Reco-Data,CPU,Total,MHr,0.000,0.000,0.850,4.251,5.101,4.251,0.850,0.000,0.000,Go back 3.00 years for Reco-Data
PDVD,Reco-Data,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Go back 3.00 years for Reco-Data
PDVD,Reco-Data,Store,Total,TB,0.000,0.000,102.000,510.000,612.000,510.000,102.000,0.000,0.000,Go back 3.00 years for Reco-Data
PDVD,Reco-Sim,CPU,Total,MHr,0.000,3.825,3.825,3.825,3.825,3.825,0.000,0.000,0.000,Scale inputs by 0.75
PDVD,Reco-Sim,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 0.00
PDVD,Reco-Sim,Store,Total,TB,0.000,1122.000,1122.000,1122.000,1122.000,1122.000,0.000,0.000,0.000,Scale inputs by 220.00
FDHD,Reco-Data,CPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.750,5.500,Go back 100.00 years for Reco-Data
FDHD,Reco-Data,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Go back 100.00 years for Reco-Data
FDHD,Reco-Data,Store,Total,TB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.000,88.000,Go back 100.00 years for Reco-Data
FDHD,Reco-Sim,CPU,Total,MHr,0.000,1.875,1.875,1.875,1.875,1.875,3.750,3.750,3.750,Scale inputs by 0.12
FDHD,Reco-Sim,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 0.00
FDHD,Reco-Sim,Store,Total,TB,0.000,600.000,600.000,600.000,600.000,600.000,1200.000,1200.000,1200.000,Scale inputs by 40.00
FDVD,Reco-Data,CPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.463,4.389,Go back 100.00 years for Reco-Data
FDVD,Reco-Data,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.330,Go back 100.00 years for Reco-Data
FDVD,Reco-Data,Store,Total,TB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000,66.000,Go back 100.00 years for Reco-Data
FDVD,Reco-Sim,CPU,Total,MHr,0.000,1.875,1.875,1.875,1.875,1.875,3.750,3.750,3.750,Scale inputs by 0.12
FDVD,Reco-Sim,GPU,Total,MHr,0.000,1.500,1.500,1.500,1.500,1.500,3.000,3.000,3.000,Scale inputs by 0.10
FDVD,Reco-Sim,Store,Total,TB,0.000,600.000,600.000,600.000,600.000,600.000,1200.000,1200.000,1200.000,Scale inputs by 40.00
ND-SAND,Reco-Data,CPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,Go back 100.00 years for Reco-Data
ND-SAND,Reco-Data,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Go back 100.00 years for Reco-Data
ND-SAND,Reco-Data,Store,Total,TB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,150.000,Go back 100.00 years for Reco-Data
ND-SAND,Reco-Sim,CPU,Total,MHr,0.000,0.000,0.240,0.240,1.200,1.200,1.200,4.800,7.200,Scale inputs by 0.24
ND-SAND,Reco-Sim,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Scale inputs by 0.00
ND-SAND,Reco-Sim,Store,Total,TB,0.000,0.000,25.000,25.000,125.000,125.000,125.000,500.000,750.000,Scale inputs by 25.00
ND-LAr+TMS,Reco-Data,CPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.400,Go back 100.00 years for Reco-Data
ND-LAr+TMS,Reco-Data,GPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.400,Go back 100.00 years for Reco-Data
ND-LAr+TMS,Reco-Data,Store,Total,TB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300.000,Go back 100.00 years for Reco-Data
ND-LAr+TMS,Reco-Sim,CPU,Total,MHr,0.000,0.000,4.600,4.600,23.000,23.000,23.000,23.000,23.000,Scale inputs by 4.60
ND-LAr+TMS,Reco-Sim,GPU,Total,MHr,0.000,0.000,4.600,4.600,23.000,23.000,23.000,23.000,23.000,Scale inputs by 4.60
ND-LAr+TMS,Reco-Sim,Store,Total,TB,0.000,0.000,50.000,50.000,250.000,250.000,250.000,250.000,250.000,Scale inputs by 50.00
SP,Analysis-Data,CPU,Total,MHr,3.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Extend Analysis processing by 0.00 years
SP,Analysis-Sim,CPU,Total,MHr,3.750,3.750,3.750,0.000,0.000,0.000,0.000,0.000,0.000,Extend Analysis processing by 0.00 years
PDHD,Analysis-Data,CPU,Total,MHr,0.000,0.000,1.667,2.084,2.500,2.500,2.500,0.000,0.000,Extend Analysis processing by 0.00 years
PDHD,Analysis-Sim,CPU,Total,MHr,1.875,1.875,1.875,1.875,1.875,1.875,0.000,0.000,0.000,Extend Analysis processing by 0.00 years
DP,Analysis-Data,CPU,Total,MHr,0.283,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Extend Analysis processing by 0.00 years
DP,Analysis-Sim,CPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Extend Analysis processing by 0.00 years
PDVD,Analysis-Data,CPU,Total,MHr,0.000,0.000,0.425,2.125,2.551,2.551,2.551,0.000,0.000,Extend Analysis processing by 0.00 years
PDVD,Analysis-Sim,CPU,Total,MHr,0.000,1.912,1.912,1.912,1.912,1.912,0.000,0.000,0.000,Extend Analysis processing by 0.00 years
FDHD,Analysis-Data,CPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.375,2.750,Extend Analysis processing by 0.00 years
FDHD,Analysis-Sim,CPU,Total,MHr,0.000,0.938,0.938,0.938,0.938,0.938,1.875,1.875,1.875,Extend Analysis processing by 0.00 years
FDVD,Analysis-Data,CPU,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.732,2.195,Extend Analysis processing by 0.00 years
FDVD,Analysis-Sim,CPU,Total,MHr,0.000,0.938,0.938,0.938,0.938,0.938,1.875,1.875,1.875,Extend Analysis processing by 0.00 years
