DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,0,0,3361,2944,1261,0,0,17050,20659
Reco-Sim,9900,11733,15328,15441,10941,11391,13191,8887,9825
Reco-Data,7049,7091,8695,4955,7698,8514,8514,8646,9854
Test,2231,3231,2800,2700,3700,6200,12100,14100,11565
Total,19180,22055,30184,26040,23600,26105,33805,48683,51904
