DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Reco-Sim,1223,2458,3247,2636,5793,5793,5169,5756,6148
Reco-Data,255,54,682,1372,1647,965,274,687,3477
Analysis-Data,546,46,341,686,823,823,823,343,1272
Analysis-Sim,917,1534,1732,1120,1910,1910,1598,1744,1842
Total,2942,4093,6003,5816,10174,9492,7866,8532,12740
