Detectors,2022,2023,2024,2025,2026,2027,2028,2029,2030
SP,11.7,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,5.6,5.6,10.6,11.9,13.1,9.8,3.3,0.0,0.0
DP,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,0.0,5.7,7.0,12.1,13.4,12.5,3.4,0.0,0.0
FDHD,0.0,2.8,2.8,2.8,2.8,2.8,5.6,9.8,13.9
FDVD,0.0,2.8,2.8,2.8,2.8,2.8,5.6,7.8,12.2
ND-SAND,0.0,0.0,0.3,0.3,1.5,1.5,1.5,6.0,9.0
ND-LAr+TMS,0.0,0.0,5.8,5.8,28.8,28.8,28.8,28.8,43.0
Total,18.0,25.1,36.8,35.7,62.4,58.2,48.2,52.3,78.1
