Locations,2022,2023,2024,2025,2026,2027,2028,2029,2030
US,3644,5607,9522,8538,7782,6969,7714,25708,28444
CERN,1115,1115,4161,3694,1511,0,0,0,0
Global,0,1100,1237,1237,2387,3887,7437,25708,28331
Total,4760,7823,14921,13470,11681,10857,15152,51416,56888
Total,4760,7823,14921,13470,11681,10857,15152,51416,56888
