Detectors,2022,2023,2024,2025,2026,2027,2028,2029,2030
SP,2105,1650,1650,0,0,0,0,0,0
PDHD,2650,2650,5950,4600,4450,2350,350,0,0
DP,434,371,500,500,0,0,0,0,0
PDVD,1000,2683,3448,5447,3968,2703,204,0,0
FDHD,0,900,900,900,1900,3400,6800,16138,13240
FDVD,0,900,900,900,1900,3400,6900,16744,20667
ND-SAND,0,0,237,237,387,387,1187,1750,2500
ND-LAr+TMS,0,1000,1075,1075,1375,1375,1375,1375,2125
Total,6189,10154,14660,13659,13980,13615,16816,36007,38533
