DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,0,0,6722,5888,2522,0,0,34100,41319
Reco-Sim,2200,4522,4597,3497,3797,3797,2775,3150,3400
Reco-Data,329,70,802,1385,1662,860,277,66,604
Test,2231,3231,2800,2700,3700,6200,12100,14100,11565
Total,4760,7823,14921,13470,11681,10857,15152,51416,56888
