Detectors,2022,2023,2024,2025,2026,2027,2028,2029,2030
SP,1327,1100,1100,0,0,0,0,0,0
PDHD,2100,2100,7500,3875,3550,1450,175,0,0
DP,332,301,500,500,0,0,0,0,0
PDVD,1000,2122,3346,6620,3356,1632,102,0,0
FDHD,0,600,600,600,1600,3100,6200,23744,19074
FDVD,0,600,600,600,1600,3100,6300,24922,33914
ND-SAND,0,0,225,225,325,325,1125,1500,2050
ND-LAr+TMS,0,1000,1050,1050,1250,1250,1250,1250,1850
Total,4760,7823,14921,13470,11681,10857,15152,51416,56888
