DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Reco-Sim,7.5,15.1,19.9,16.2,35.5,35.5,31.7,35.3,37.7
Reco-Data,1.6,0.3,4.2,8.4,10.1,5.9,1.7,4.2,21.3
Analysis-Data,3.4,0.3,2.1,4.2,5.1,5.1,5.1,2.1,7.8
Analysis-Sim,5.6,9.4,10.6,6.9,11.7,11.7,9.8,10.7,11.3
Total,18.0,25.1,36.8,35.7,62.4,58.2,48.2,52.3,78.1
