DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,5900,5900,12622,18510,21032,21032,21032,55132,96451
Reco-Sim,10472,14994,19591,23088,26885,30682,33457,36607,40007
Reco-Data,4151,4221,5023,6408,8070,8930,9207,9273,9877
Test,2231,3231,2800,2700,3700,6200,12100,14100,11565
Total,22754,28346,40036,50706,59687,66844,75796,115112,157900
