Locations,2022,2023,2024,2025,2026,2027,2028,2029,2030
US,3094,4627,6852,6351,6399,6217,7367,25314,28019
CERN,1115,1115,2480,2222,880,0,0,0,0
Global,1979,4411,5327,5085,6700,7398,9448,10692,10513
Total,6189,10154,14660,13659,13980,13615,16816,36007,38533
Total,6189,10154,14660,13659,13980,13615,16816,36007,38533
