DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,0,0,0,0,0,0,0,17050,20434
Test,0,0,0,0,2000,5000,10100,12100,9565
Sub-Total,0,0,0,0,2000,5000,10100,29150,30000
