"MachineAttrGLIDEIN_DUNESite0: Descending","@timestamp per month",filters,"Sum of SlotHours"
"US_FNAL-FermiGrid",1696136400000,Analysis,"1206211.8808530555"
"US_FNAL-FermiGrid",1696136400000,Production,"3550.7340972222223"
"US_FNAL-FermiGrid",1696136400000,MARS,0
"US_FNAL-FermiGrid",1696136400000,Total,"1209762.6149502778"
"US_FNAL-FermiGrid",1698814800000,Analysis,"812523.4245040278"
"US_FNAL-FermiGrid",1698814800000,Production,"940.6975694444444"
"US_FNAL-FermiGrid",1698814800000,MARS,0
"US_FNAL-FermiGrid",1698814800000,Total,"813464.1220734722"
"NL_SURFsara",1641016800000,Analysis,"75731.60456"
"NL_SURFsara",1641016800000,Production,"411214.2870416666"
"NL_SURFsara",1641016800000,MARS,0
"NL_SURFsara",1641016800000,Total,"486945.89160166663"
"NL_SURFsara",1643695200000,Analysis,"52489.27903388889"
"NL_SURFsara",1643695200000,Production,"791.3944166666666"
"NL_SURFsara",1643695200000,MARS,0
"NL_SURFsara",1643695200000,Total,"53280.67345055555"
"NL_SURFsara",1646114400000,Analysis,"165525.28196958333"
"NL_SURFsara",1646114400000,Production,"73731.09555555556"
"NL_SURFsara",1646114400000,MARS,0
"NL_SURFsara",1646114400000,Total,"239256.37752513887"
"NL_SURFsara",1648789200000,Analysis,"75456.23322361111"
"NL_SURFsara",1648789200000,Production,"1636.7597916666666"
"NL_SURFsara",1648789200000,MARS,0
"NL_SURFsara",1648789200000,Total,"77092.99301527778"
"NL_SURFsara",1651381200000,Analysis,"74139.42857986111"
"NL_SURFsara",1651381200000,Production,"4021.5633333333335"
"NL_SURFsara",1651381200000,MARS,0
"NL_SURFsara",1651381200000,Total,"78160.99191319445"
"NL_SURFsara",1654059600000,Analysis,"167726.94406152779"
"NL_SURFsara",1654059600000,Production,"132479.26729166668"
"NL_SURFsara",1654059600000,MARS,0
"NL_SURFsara",1654059600000,Total,"300206.21135319443"
"NL_SURFsara",1656651600000,Analysis,"174233.82943986112"
"NL_SURFsara",1656651600000,Production,"24974.606069444446"
"NL_SURFsara",1656651600000,MARS,0
"NL_SURFsara",1656651600000,Total,"199208.43550930556"
"NL_SURFsara",1659330000000,Analysis,"131672.30146513888"
"NL_SURFsara",1659330000000,Production,"375779.01241666666"
"NL_SURFsara",1659330000000,MARS,0
"NL_SURFsara",1659330000000,Total,"507451.3138818056"
"NL_SURFsara",1662008400000,Analysis,"8511.927903611111"
"NL_SURFsara",1662008400000,Production,"6169.6565972222215"
"NL_SURFsara",1662008400000,MARS,0
"NL_SURFsara",1662008400000,Total,"14681.584500833334"
"NL_SURFsara",1664600400000,Analysis,"18229.453889166667"
"NL_SURFsara",1664600400000,Production,"3063.6839583333335"
"NL_SURFsara",1664600400000,MARS,0
"NL_SURFsara",1664600400000,Total,"21293.1378475"
"NL_SURFsara",1667278800000,Analysis,"45237.249606805555"
"NL_SURFsara",1667278800000,Production,"12273.4875"
"NL_SURFsara",1667278800000,MARS,0
"NL_SURFsara",1667278800000,Total,"57510.73710680555"
"NL_SURFsara",1669874400000,Analysis,"74535.36589402778"
"NL_SURFsara",1669874400000,Production,"87571.23465277777"
"NL_SURFsara",1669874400000,MARS,0
"NL_SURFsara",1669874400000,Total,"162106.60054680557"
"NL_SURFsara",1672552800000,Analysis,"194386.47872666665"
"NL_SURFsara",1672552800000,Production,"46159.641888888895"
"NL_SURFsara",1672552800000,MARS,0
"NL_SURFsara",1672552800000,Total,"240546.12061555556"
"NL_SURFsara",1675231200000,Analysis,"20796.963976666666"
"NL_SURFsara",1675231200000,Production,"55.768819444444446"
"NL_SURFsara",1675231200000,MARS,0
"NL_SURFsara",1675231200000,Total,"20852.73279611111"
"NL_SURFsara",1677650400000,Analysis,"62948.91820763889"
"NL_SURFsara",1677650400000,Production,"2772.155902777778"
"NL_SURFsara",1677650400000,MARS,0
"NL_SURFsara",1677650400000,Total,"65721.07411041667"
"NL_SURFsara",1680325200000,Analysis,"169007.59823833333"
"NL_SURFsara",1680325200000,Production,"29804.613125"
"NL_SURFsara",1680325200000,MARS,0
"NL_SURFsara",1680325200000,Total,"198812.21136333334"
"NL_SURFsara",1682917200000,Analysis,"14806.783011944444"
"NL_SURFsara",1682917200000,Production,"889.4156249999999"
"NL_SURFsara",1682917200000,MARS,0
"NL_SURFsara",1682917200000,Total,"15696.198636944444"
"NL_SURFsara",1685595600000,Analysis,"3087.762229444444"
"NL_SURFsara",1685595600000,Production,"4448.3202083333335"
"NL_SURFsara",1685595600000,MARS,0
"NL_SURFsara",1685595600000,Total,"7536.082437777777"
"NL_SURFsara",1688187600000,Analysis,"31076.767756666668"
"NL_SURFsara",1688187600000,Production,"63739.70618055556"
"NL_SURFsara",1688187600000,MARS,0
"NL_SURFsara",1688187600000,Total,"94816.47393722222"
"NL_SURFsara",1690866000000,Analysis,"2456.6562248611112"
"NL_SURFsara",1690866000000,Production,"491634.88666666666"
"NL_SURFsara",1690866000000,MARS,0
"NL_SURFsara",1690866000000,Total,"494091.54289152776"
"NL_SURFsara",1693544400000,Analysis,"1993.4890883333333"
"NL_SURFsara",1693544400000,Production,"7767.673958333334"
"NL_SURFsara",1693544400000,MARS,0
"NL_SURFsara",1693544400000,Total,"9761.163046666667"
"NL_SURFsara",1696136400000,Analysis,"40021.122517222226"
"NL_SURFsara",1696136400000,Production,"14443.642569444444"
"NL_SURFsara",1696136400000,MARS,0
"NL_SURFsara",1696136400000,Total,"54464.765086666666"
"NL_SURFsara",1698814800000,Analysis,"29115.307474583333"
"NL_SURFsara",1698814800000,Production,"1337.7774305555556"
"NL_SURFsara",1698814800000,MARS,0
"NL_SURFsara",1698814800000,Total,"30453.08490513889"
"UK_RAL-Tier1",1641016800000,Analysis,"62426.05938388889"
"UK_RAL-Tier1",1641016800000,Production,"365194.98111111106"
"UK_RAL-Tier1",1641016800000,MARS,0
"UK_RAL-Tier1",1641016800000,Total,"427621.04049499996"
