"MachineAttrGLIDEIN_DUNESite0: Descending","@timestamp per month",filters,"Sum of SlotHours"
"US_FermiGrid","2022-01-01",Analysis,"765,794.317"
"US_FermiGrid","2022-01-01",Production,"557,070.088"
"US_FermiGrid","2022-01-01",MARS,"1,678,636.675"
"US_FermiGrid","2022-01-01",Total,"3,001,501.08"
"US_FermiGrid","2022-02-01",Analysis,"1,017,173.604"
"US_FermiGrid","2022-02-01",Production,"206,164.553"
"US_FermiGrid","2022-02-01",MARS,"786,809.461"
"US_FermiGrid","2022-02-01",Total,"2,010,147.617"
"US_FermiGrid","2022-03-01",Analysis,"2,736,675.292"
"US_FermiGrid","2022-03-01",Production,"121,280.003"
"US_FermiGrid","2022-03-01",MARS,"1,009,474.52"
"US_FermiGrid","2022-03-01",Total,"3,867,429.815"
"US_FermiGrid","2022-04-01",Analysis,"3,991,865.562"
"US_FermiGrid","2022-04-01",Production,"98,554.37"
"US_FermiGrid","2022-04-01",MARS,"1,152,364.427"
"US_FermiGrid","2022-04-01",Total,"5,242,784.359"
"US_FermiGrid","2022-05-01",Analysis,"1,876,135.648"
"US_FermiGrid","2022-05-01",Production,"27,479.759"
"US_FermiGrid","2022-05-01",MARS,"860,207.991"
"US_FermiGrid","2022-05-01",Total,"2,763,823.398"
"US_FermiGrid","2022-06-01",Analysis,"1,778,048.343"
"US_FermiGrid","2022-06-01",Production,"275,091.07"
"US_FermiGrid","2022-06-01",MARS,"2,170,497.624"
"US_FermiGrid","2022-06-01",Total,"4,223,637.036"
"US_FermiGrid","2022-07-01",Analysis,"2,578,710.332"
"US_FermiGrid","2022-07-01",Production,"56,057.164"
"US_FermiGrid","2022-07-01",MARS,"1,851,611.716"
"US_FermiGrid","2022-07-01",Total,"4,486,379.212"
"US_FermiGrid","2022-08-01",Analysis,"2,430,676.556"
"US_FermiGrid","2022-08-01",Production,"1,088,746.898"
"US_FermiGrid","2022-08-01",MARS,"1,413,473.881"
"US_FermiGrid","2022-08-01",Total,"4,932,897.335"
"US_FermiGrid","2022-09-01",Analysis,"685,698.429"
"US_FermiGrid","2022-09-01",Production,"118,819.744"
"US_FermiGrid","2022-09-01",MARS,"2,713,242.772"
"US_FermiGrid","2022-09-01",Total,"3,517,760.945"
"US_FermiGrid","2022-10-01",Analysis,"584,675.202"
"US_FermiGrid","2022-10-01",Production,"120,266.292"
"US_FermiGrid","2022-10-01",MARS,"570,900.403"
"US_FermiGrid","2022-10-01",Total,"1,275,841.897"
"US_FermiGrid","2022-11-01",Analysis,"837,895.553"
"US_FermiGrid","2022-11-01",Production,"10,718.813"
"US_FermiGrid","2022-11-01",MARS,"246,303.418"
"US_FermiGrid","2022-11-01",Total,"1,094,917.784"
"US_FermiGrid","2022-12-01",Analysis,"578,913.273"
"US_FermiGrid","2022-12-01",Production,"246,572.249"
"US_FermiGrid","2022-12-01",MARS,"212,074.725"
"US_FermiGrid","2022-12-01",Total,"1,037,560.247"
"US_FermiGrid","2023-01-01",Analysis,"2,218,135.427"
"US_FermiGrid","2023-01-01",Production,"147,524.969"
"US_FermiGrid","2023-01-01",MARS,"388,349.356"
"US_FermiGrid","2023-01-01",Total,"2,754,009.753"
"US_FermiGrid","2023-02-01",Analysis,"1,507,917.689"
"US_FermiGrid","2023-02-01",Production,"27,418.884"
"US_FermiGrid","2023-02-01",MARS,"5,318.19"
"US_FermiGrid","2023-02-01",Total,"1,540,654.763"
"US_FNAL-FermiGrid","2023-02-01",Analysis,"1,604,888.881"
"US_FNAL-FermiGrid","2023-02-01",Production,"219.067"
"US_FNAL-FermiGrid","2023-02-01",MARS,"389,886.263"
"US_FNAL-FermiGrid","2023-02-01",Total,"1,994,994.21"
"US_FNAL-FermiGrid","2023-03-01",Analysis,"2,341,011.396"
"US_FNAL-FermiGrid","2023-03-01",Production,"22,932.042"
"US_FNAL-FermiGrid","2023-03-01",MARS,0
"US_FNAL-FermiGrid","2023-03-01",Total,"2,363,943.438"
"US_FNAL-FermiGrid","2023-04-01",Analysis,"980,260.573"
"US_FNAL-FermiGrid","2023-04-01",Production,"183,581.185"
"US_FNAL-FermiGrid","2023-04-01",MARS,0
"US_FNAL-FermiGrid","2023-04-01",Total,"1,163,841.758"
"US_FNAL-FermiGrid","2023-05-01",Analysis,"1,526,869.692"
"US_FNAL-FermiGrid","2023-05-01",Production,"105,042.021"
"US_FNAL-FermiGrid","2023-05-01",MARS,0
"US_FNAL-FermiGrid","2023-05-01",Total,"1,631,911.713"
"US_FNAL-FermiGrid","2023-06-01",Analysis,"1,214,226.648"
"US_FNAL-FermiGrid","2023-06-01",Production,"155,046.539"
"US_FNAL-FermiGrid","2023-06-01",MARS,0
"US_FNAL-FermiGrid","2023-06-01",Total,"1,369,273.186"
"US_FNAL-FermiGrid","2023-07-01",Analysis,"2,628,239.365"
"US_FNAL-FermiGrid","2023-07-01",Production,"120,139.687"
"US_FNAL-FermiGrid","2023-07-01",MARS,0
"US_FNAL-FermiGrid","2023-07-01",Total,"2,748,379.052"
"US_FNAL-FermiGrid","2023-08-01",Analysis,"3,121,392.221"
"US_FNAL-FermiGrid","2023-08-01",Production,"465,063.574"
"US_FNAL-FermiGrid","2023-08-01",MARS,0
"US_FNAL-FermiGrid","2023-08-01",Total,"3,586,455.794"
"US_FNAL-FermiGrid","2023-09-01",Analysis,"1,640,361.952"
"US_FNAL-FermiGrid","2023-09-01",Production,0
"US_FNAL-FermiGrid","2023-09-01",MARS,0
"US_FNAL-FermiGrid","2023-09-01",Total,"1,640,361.952"
"US_FNAL-FermiGrid","2023-10-01",Analysis,"1,206,211.881"
"US_FNAL-FermiGrid","2023-10-01",Production,"3,550.734"
"US_FNAL-FermiGrid","2023-10-01",MARS,0
"US_FNAL-FermiGrid","2023-10-01",Total,"1,209,762.615"
"US_FNAL-FermiGrid","2023-11-01",Analysis,"812,523.425"
"US_FNAL-FermiGrid","2023-11-01",Production,"940.698"
"US_FNAL-FermiGrid","2023-11-01",MARS,0
"US_FNAL-FermiGrid","2023-11-01",Total,"813,464.122"
"NL_SURFsara","2022-01-01",Analysis,"75,731.605"
"NL_SURFsara","2022-01-01",Production,"411,214.287"
"NL_SURFsara","2022-01-01",MARS,0
"NL_SURFsara","2022-01-01",Total,"486,945.892"
"NL_SURFsara","2022-02-01",Analysis,"52,489.279"
"NL_SURFsara","2022-02-01",Production,"791.394"
"NL_SURFsara","2022-02-01",MARS,0
"NL_SURFsara","2022-02-01",Total,"53,280.673"
"NL_SURFsara","2022-03-01",Analysis,"165,525.282"
"NL_SURFsara","2022-03-01",Production,"73,731.096"
"NL_SURFsara","2022-03-01",MARS,0
"NL_SURFsara","2022-03-01",Total,"239,256.378"
"NL_SURFsara","2022-04-01",Analysis,"75,456.233"
"NL_SURFsara","2022-04-01",Production,"1,636.76"
