                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,     0.000,     0.003,     0.003,     0.000,     0.003
                            CA,     0.000,     0.002,     0.003,     0.000,     0.003
                          CERN,     0.033,     0.059,     0.091,     0.000,     0.091
                            CZ,     0.003,     0.024,     0.027,     0.000,     0.027
                            ES,     0.001,     0.014,     0.015,     0.000,     0.015
                            FR,     0.001,     0.021,     0.022,     0.000,     0.022
                            IN,     0.000,     0.002,     0.002,     0.000,     0.002
                            IT,     0.000,     0.037,     0.037,     0.000,     0.037
                            NL,     0.002,     0.047,     0.049,     0.000,     0.049
                            UK,     0.028,     0.381,     0.409,     0.000,     0.409
                       US FNAL,     0.038,     0.977,     1.015,     1.383,     2.398
                   US non-FNAL,     0.012,     0.105,     0.117,     0.000,     0.117
                     undefined,     0.000,     0.004,     0.004,     0.000,     0.004
                         Total,     0.118,     1.676,     1.794,     1.383,     3.177
