                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,     0.001,     0.002,     0.004,     0.000,     0.004
                            CA,     0.001,     0.004,     0.004,     0.000,     0.004
                          CERN,     0.023,     0.117,     0.141,     0.000,     0.141
                            CH,     0.000,     0.000,     0.000,     0.000,     0.000
                            CZ,     0.040,     0.119,     0.159,     0.000,     0.159
                            ES,     0.015,     0.028,     0.043,     0.000,     0.043
                            FR,     0.020,     0.019,     0.039,     0.000,     0.039
                            IN,     0.000,     0.004,     0.004,     0.000,     0.004
                            IT,     0.000,     0.050,     0.050,     0.000,     0.050
                            NL,     0.008,     0.020,     0.028,     0.000,     0.028
                            UK,     0.068,     0.460,     0.528,     0.000,     0.528
                            US,     1.710,     2.385,     4.095,     0.000,     4.095
                     undefined,     0.000,     0.005,     0.005,     0.000,     0.005
                         Total,     1.887,     3.213,     5.100,     0.000,     5.100
